smiles,st,abs,qed,sa
Cn1nc(-c2c(-c3ccc4c(c3)-c3ccccc3S4(=O)=O)c(=O)c2=O)c2n[nH]nc2c1=O,0.1811947874188423,2.368158198028803,0.3853036165237427,3.2477047443389893
Cc1ccc2c(c1)n(C)c(C)[n+]2-c1cc(C)c(C2=CC(=O)C=CC2=O)cc1C,0.2067606236100196,1.6803577293276786,0.5082125663757324,3.276643753051758
Nc1c(O)ncn1-c1cnc(C2=CC(=O)C=CC2=O)c2cc[nH]c12,0.1092534412503241,1.5803800361871718,0.6071553230285645,3.4620449542999268
O=C1C=CC(=O)N1c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,0.2792762021183966,2.1907930003404616,0.6006532907485962,2.8603944778442383
O=C1C=CC(=O)C(c2ccc(N(C=CC(F)(F)F)c3ccc4ncccc4c3)cc2)=C1,0.0915413791894912,2.247754401892424,0.5202624201774597,3.020691394805908
Cc1ccc(-c2n[nH]cc2C(=O)C2=C(O)c3sccc3S(=O)(=O)N2C)c2nsnc12,0.2390914862513541,2.425235991746187,0.4501295685768127,3.6843295097351074
CC1=C2C=CC(c3ccccc3)=[N+]2[B-](F)(F)n2c1ccc2-c1nn(C)nc1C,0.1306297542214394,1.8362501032114027,0.6401571035385132,3.9151108264923096
O=C1C=CC(=O)C(c2ccc(N(c3cncc4ccccc34)[SH](=O)=O)cc2)=C1,0.177470265841484,2.4566336881339548,0.5468783378601074,3.1385645866394043
Nc1cc(-c2cnc(C#Cc3cccc4ccccc34)o2)c(N)[nH]1,0.2951664606690406,2.273167057174444,0.4693956077098846,3.058375835418701
CC(c1ccc(C2=CC(=O)C=CC2=O)cc1)C(C=O)c1ccc2c(c1)CCO2,0.0548931752204895,2.050207553637028,0.5916626453399658,3.5740675926208496
O=C(Cc1ccc(C#Cc2cccc3c2C(=O)C=CC3=O)cc1)Cc1cn2ccccc2n1,0.1631816093087195,2.069644871973991,0.4587621390819549,2.8537068367004395
CCCn1cccc1C1=[N+]2C(=Cc3c(C)cc(C)n3[B-]2(F)F)c2ccccc21,0.1127835464239119,2.2720498079121114,0.5754469633102417,3.6185295581817623
CN1C(=Cc2c(-n3cc(C=O)cn3)c(=O)c2=O)Sc2ccccc21,0.1603987180352211,2.418418298995495,0.5361836552619934,3.07323694229126
Cn1c(=O)c(N=Nc2ccc(-c3c[nH]c(N)c3)cc2)c(O)c2ccccc21,0.0574739778399466,2.010912518858909,0.4760166108608246,2.9049839973449707
